eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/fisher_eps_step_0,train/fisher_eps_step_1,train/fisher_eps_step_2,train/fisher_eps_step_3,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,104448,0.024770494571566815,0.26079100370407104,0.29169923067092896,0.3104003965854645,0.31840819120407104,0.29532470703125,34.13675260543823,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,51,0.00026926229508196715,1000.0,-176.43706286318525,2,-0.04245046371652279,9.321424241364003,119.58052372932434
nan,nan,106496,0.019863586904102705,0.23496094346046448,0.2392578125,0.26445311307907104,0.28862303495407104,0.25682373046875,34.18131954669953,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,52,0.00026864754098360655,1000.0,-259.4774012476108,2,-0.04031588791694958,13.538255916535855,121.28077387809753
nan,nan,108544,0.038346302073478,0.3594726622104645,0.3692382872104645,0.39521485567092896,0.40410155057907104,0.3820068359375,34.19502022266388,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,53,0.0002680327868852459,1000.0,-148.17430544086127,2,-0.04459964230773039,7.645580521225929,122.9480299949646
nan,nan,110592,0.03304411044737208,0.32011717557907104,0.349853515625,0.3697265684604645,0.388671875,0.35709228515625,34.18783110380173,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,54,0.00026741803278688525,1000.0,-148.08898233823868,2,-0.04442935805418528,7.757326920330525,124.59422373771667
113.64509162689383,45.41474609883972,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128.04324889183044
nan,nan,112640,0.0348503275650728,0.33662110567092896,0.348876953125,0.37568360567092896,0.39208984375,0.36331787109375,34.25095007419586,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,55,0.0002668032786885246,1000.0,-114.91625615842662,2,-0.03982326030964032,7.2456759959459305,129.66645574569702
nan,nan,114688,0.032229310970433286,0.3221191465854645,0.3349609375,0.36152344942092896,0.3751464784145355,0.3484375,34.08958839178085,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,56,0.0002661885245901639,1000.0,-97.06417779572239,2,-0.04630337799608242,8.583523984253407,131.30045580863953
nan,nan,116736,0.03743156913187704,0.3401855528354645,0.3682617247104645,0.3868164122104645,0.4156738221645355,0.377734375,34.125993239879605,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,57,0.00026557377049180324,1000.0,-64.02428746614143,2,-0.045078705303603785,6.574542637169361,132.9619426727295
nan,nan,118784,0.0340529153458192,0.32817381620407104,0.3533691465854645,0.3642578125,0.38447266817092896,0.357568359375,34.292958438396454,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,58,0.0002649590163934426,1000.0,-105.01969129701256,2,-0.042770805387408475,5.697478844225406,134.9185197353363
nan,nan,120832,0.031466393504524605,0.31733399629592896,0.3402343690395355,0.35322266817092896,0.38081055879592896,0.347900390625,34.04146348237991,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,59,0.00026434426229508194,1000.0,-45.17740315388917,2,-0.04567072989011649,6.642511690407991,136.97985172271729
104.72920482617401,29.35666655000654,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140.61144876480103
nan,nan,122880,0.03411838285173872,0.32563477754592896,0.35307615995407104,0.3602050840854645,0.37910157442092896,0.35450439453125,34.20417025089264,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,60,0.0002637295081967213,1000.0,-151.72560753031502,2,-0.04485460390278604,6.599469574540853,142.48773980140686
nan,nan,124928,0.024589937445125543,0.27934569120407104,0.29057615995407104,0.3033691346645355,0.32280272245407104,0.2990234375,34.13445872068405,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,61,0.00026311475409836063,1000.0,-141.38258419401353,2,-0.045434711396228525,9.117747931182384,144.293194770813
nan,nan,126976,0.030975648359162732,0.30317384004592896,0.3243652284145355,0.3551269471645355,0.37324219942092896,0.33897705078125,34.05803587436676,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,62,0.0002625,1000.0,-103.14700168301067,2,-0.04349088690069038,6.809919695556164,146.36109805107117
nan,nan,129024,0.03288380341327866,0.31879884004592896,0.3287109434604645,0.36372071504592896,0.392822265625,0.35101318359375,34.19948706626892,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,63,0.00026188524590163933,1000.0,-119.09533849128589,3,-0.046493597349035555,6.77707375138998,148.2345757484436
nan,nan,131072,0.026880670805257977,0.2850585877895355,0.29448240995407104,0.30878907442092896,0.33979493379592896,0.30703125,34.280015075206755,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,64,0.0002612704918032787,1000.0,-78.78406077678059,2,-0.04314294977812096,8.62371716350317,149.99732375144958
72.59027050222464,48.91176173981446,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,153.8129918575287
nan,nan,133120,0.02460028268833412,0.26787108182907104,0.2869628965854645,0.315673828125,0.3280273377895355,0.2996337890625,34.094732630252835,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,65,0.000260655737704918,1000.0,-71.40924541481472,2,-0.04425475428288337,9.231466473639012,155.46660780906677
nan,nan,135168,0.04593256187363295,0.3792480528354645,0.39111328125,0.42822265625,0.44633787870407104,0.41123046875,34.202799713611604,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,66,0.0002600409836065573,1000.0,-88.26123988513046,2,-0.04179652603343129,5.412434013187886,157.1848850250244
nan,nan,137216,0.019670468052936485,0.23237304389476776,0.24614258110523224,0.26616209745407104,0.27900391817092896,0.25592041015625,34.08234544992447,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,67,0.00025942622950819673,1000.0,-178.66367459717463,2,-0.0431155832920922,11.439233353734016,159.0072898864746
nan,nan,139264,0.0247969141084468,0.27558594942092896,0.2861328125,0.30854493379592896,0.308349609375,0.2946533203125,34.071347212791444,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,68,0.000258811475409836,1000.0,-190.94189931089664,2,-0.04620522680343129,8.28515557795763,160.6742537021637
nan,nan,141312,0.03620229229272809,0.32426756620407104,0.340576171875,0.36713868379592896,0.3876953125,0.35491943359375,34.109830391407016,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,69,0.00025819672131147537,1000.0,-70.01624656025609,2,-0.0414303765486693,7.973643592000007,162.38774394989014
172.0697176322411,50.75824709110162,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,166.00114679336548
nan,nan,143360,0.031014977763697972,0.3143554627895355,0.324462890625,0.3597168028354645,0.36933594942092896,0.3419677734375,33.990098810195924,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,70,0.0002575819672131147,1000.0,-51.677425793471286,2,-0.0439759088185383,7.9876713588833805,167.9561207294464
