eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,1802240,0.002889690312986204,0.15997925400733948,0.15917359292507172,0.160247802734375,0.15904541313648224,0.15961151123046874,17.43590294122696,0.08614452928304672,0.08898534625768661,0.1022191271185875,0.11868095397949219,55,0.0037281119730323553,0.0039734854362905025,0.005238315090537071,0.0070600868202745914,0.0002668032786885246,1001.0,-211.1606573689118,32,-0.005458597916003782,3.5228425644338133,8169.763134002686
nan,nan,1835008,0.0028558176030855976,0.15828858315944672,0.15681152045726776,0.156646728515625,0.15785522758960724,0.1574005126953125,17.432352516055108,0.08627552539110184,0.08880424499511719,0.10332974046468735,0.11774688214063644,56,0.003738145576789975,0.003958775661885738,0.005352444481104612,0.006950634066015482,0.0002661885245901639,1001.0,-181.01962762371483,32,-0.005492815288016572,3.581193647906184,8192.420773267746
nan,nan,1867776,0.0030570108596293722,0.17056885361671448,0.16811524331569672,0.16785278916358948,0.17022705078125,0.16919097900390626,17.438787198066713,0.08738347142934799,0.08830463141202927,0.10190289467573166,0.11855776607990265,57,0.0038349919486790895,0.003912067506462336,0.005206938832998276,0.007046001497656107,0.00026557377049180324,1001.0,-214.1616489145026,32,-0.005292024582013255,2.98440594188869,8216.416176080704
nan,nan,1900544,0.0027410405334194364,0.15221558511257172,0.15088501572608948,0.15103760361671448,0.15110473334789276,0.15131072998046874,17.41957824230194,0.08757530897855759,0.08965612947940826,0.10202473402023315,0.1173301711678505,58,0.0038495659828186035,0.004032710567116737,0.005218616221100092,0.006899106781929731,0.0002649590163934426,1001.0,-206.25106029792903,32,-0.005298792337271152,3.5195574540644885,8241.574631929398
-166.8076546400164,14.64019610403147,1900544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8287.171079874039
nan,nan,1933312,0.0028890753769701405,0.16045533120632172,0.16046142578125,0.16022339463233948,0.16129150986671448,0.16060791015625,17.455730044841765,0.08650731295347214,0.08954744786024094,0.1025996133685112,0.11770772933959961,59,0.0037563436198979616,0.004023103509098291,0.005277597811073065,0.00694295484572649,0.00026434426229508194,1001.0,-212.33678461699972,32,-0.005596067092847079,3.40999357663095,8309.732065439224
nan,nan,1966080,0.002772380142050679,0.15339355170726776,0.15385742485523224,0.15360108017921448,0.15240478515625,0.153314208984375,17.443538215756416,0.0874902755022049,0.0897793099284172,0.10246910899877548,0.11689289659261703,60,0.003842719364911318,0.004044668283313513,0.0052639394998550415,0.006848671939224005,0.0002637295081967213,1001.0,-208.72551422294669,32,-0.005586579652299406,3.3620325859636067,8332.210207939148
nan,nan,1998848,0.0028793664052500388,0.16038818657398224,0.15895386040210724,0.16107788681983948,0.16112671792507172,0.16038665771484376,17.401141211390495,0.08618571609258652,0.08961335569620132,0.10169108957052231,0.11865043640136719,61,0.0037309497129172087,0.004028025548905134,0.005185047164559364,0.007055976893752813,0.00026311475409836063,1001.0,-205.24048881145075,32,-0.005444916477426886,3.4342491179704666,8354.86128115654
nan,nan,2031616,0.00305305229685473,0.16968993842601776,0.16948853433132172,0.16971436142921448,0.167388916015625,0.1690704345703125,17.448232221603394,0.08670170605182648,0.08823782205581665,0.10258662700653076,0.11849818378686905,62,0.003774770302698016,0.003907672595232725,0.0052758208476006985,0.007041734643280506,0.0002625,1001.0,-209.81222911460577,32,-0.005601002516050358,2.871983877941966,8377.565768957138
nan,nan,2064384,0.0026571654296276394,0.14721070230007172,0.14630737900733948,0.146484375,0.14697876572608948,0.14674530029296876,17.436839777231217,0.08579547703266144,0.08804302662611008,0.10297900438308716,0.11902882158756256,63,0.003693477949127555,0.0038910142611712217,0.005315836984664202,0.007099670358002186,0.00026188524590163933,1001.0,-218.45576091152776,32,-0.0056037372072751165,3.7049102511256935,8400.328122854233
