eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
nan,nan,2064384,0.0,0.0,17.4356741130352,0.8095918887294828,63,0.00026188524590163933,1001.0,-205.5648212347536,32,4.331983397156,2.5337515249848366,7.724693775177002,7.724693775177002,7.724693775177002,7.724693775177002,8591.040249109268
nan,nan,2097152,0.0,0.0,17.410381484031678,0.7885527639649809,64,0.0002612704918032787,1001.0,-194.1938639730718,32,4.326738309115171,2.8471174873411655,7.860043525695801,7.860043525695801,7.860043525695801,7.860043525695801,8617.764373779297
nan,nan,2129920,0.0,0.0,17.43838476538658,0.7831877784803509,65,0.000260655737704918,1001.0,-190.7935244409308,32,4.3259264677762985,2.9817114332690835,7.784659385681152,7.784659385681152,7.784659385681152,7.784659385681152,8644.172345399857
nan,nan,2162688,0.0,0.0,17.43570088148117,0.7866380561608821,66,0.0002600409836065573,1001.0,-198.8961962332872,48,4.3322472900152205,3.481185792014003,7.619570732116699,7.619570732116699,7.619570732116699,7.619570732116699,8670.549483537674
nan,nan,2195456,0.0,0.0,17.41372855603695,0.7792868470773101,67,0.00025942622950819673,1001.0,-199.74630728658386,32,4.331477957963943,2.9001698141917585,7.4555840492248535,7.4555840492248535,7.4555840492248535,7.4555840492248535,8696.151742458344
nan,nan,2228224,0.0,0.0,17.452672627568244,0.7859216002747417,68,0.000258811475409836,1001.0,-201.2907485625846,32,4.343083240091801,2.6578027503564954,8.145279884338379,8.145279884338379,8.145279884338379,8.145279884338379,8722.057803153992
nan,nan,2260992,0.0,0.0,17.42526052892208,0.7527424484491348,69,0.00025819672131147537,1001.0,-207.13344393002438,32,4.326992049813271,3.311566449701786,7.419987201690674,7.419987201690674,7.419987201690674,7.419987201690674,8748.73704123497
nan,nan,2293760,0.0,0.0,17.434481418132783,0.7882467214949429,70,0.0002575819672131147,1001.0,-202.1400979772642,32,4.328231287002564,2.9973109271377325,7.777631759643555,7.777631759643555,7.777631759643555,7.777631759643555,8776.011187314987
nan,nan,2326528,0.0,0.0,17.452067846059798,0.7961577652022243,71,0.00025696721311475407,1001.0,-197.39037175075407,32,4.33455536365509,2.722234837152064,7.491861343383789,7.491861343383789,7.491861343383789,7.491861343383789,8802.463606834412
nan,nan,2359296,0.0,0.0,17.45351072251797,0.7963659285102039,72,0.0002563524590163934,1001.0,-203.2729928396978,32,4.326572140306235,2.6729468796402216,8.002283096313477,8.002283096313477,8.002283096313477,8.002283096313477,8829.529737949371
nan,nan,2392064,0.0,0.0,17.424254366755484,0.7906149664893747,73,0.00025573770491803277,1001.0,-204.1041146398801,32,4.336218482255935,3.0716940630227327,7.041650295257568,7.041650295257568,7.041650295257568,7.041650295257568,8855.391807317734
nan,nan,2424832,0.0,0.0,17.395607408881187,0.8040071826893836,74,0.0002551229508196721,1001.0,-204.5415555235269,32,4.326630745828152,2.5500659415498377,7.790266513824463,7.790266513824463,7.790266513824463,7.790266513824463,8881.336746931076
nan,nan,2457600,0.0,0.0,17.4198225915432,0.7946192945353687,75,0.00025450819672131146,1001.0,-201.50749154719372,32,4.329122523218393,2.6320407535880803,7.552832126617432,7.552832126617432,7.552832126617432,7.552832126617432,8907.635759830475
nan,nan,2490368,0.0,0.0,17.419885513186454,0.7792161983903497,76,0.0002538934426229508,1001.0,-199.03072499640308,32,4.324581286311149,2.538907954096794,8.326532363891602,8.326532363891602,8.326532363891602,8.326532363891602,8934.098302602768
nan,nan,2523136,0.0,0.0,17.411348024010657,0.7873643456026912,77,0.0002532786885245901,1001.0,-209.56815700439398,32,4.3214980505406855,2.9902883999049665,7.628674030303955,7.628674030303955,7.628674030303955,7.628674030303955,8960.79288816452
nan,nan,2555904,0.0,0.0,17.412436434626578,0.7847686901222914,78,0.00025266393442622946,1001.0,-209.3515836646368,32,4.327378125488758,2.4327888995409013,7.833911418914795,7.833911418914795,7.833911418914795,7.833911418914795,8986.795871973038
nan,nan,2588672,0.0,0.0,17.452080172300338,0.7672030381858349,79,0.0002520491803278688,1001.0,-208.68124109033047,32,4.34683098718524,2.919668091274798,7.562224864959717,7.562224864959717,7.562224864959717,7.562224864959717,9012.523270845413
nan,nan,2621440,0.0,0.0,17.421665069460868,0.7734131063800305,80,0.00025143442622950816,1001.0,-207.92503221107458,32,4.322628206014633,3.0638510953634976,8.150562286376953,8.150562286376953,8.150562286376953,8.150562286376953,9038.287460803986
