eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,202752,0.4249914264291874,0.48481446504592896,0.544238269329071,0.5145263671875,17.700284320116044,99,0.00023975409836065573,1000.0,140.089747550397,2,-0.08679895168170333,10.792782533168793,206.09559965133667
nan,nan,204800,0.6610223413517815,0.530078113079071,0.5914062261581421,0.5607421875,17.915121841430665,100,0.00023913934426229505,1000.0,85.42643474880069,2,-0.07774098851077724,9.21377841681242,207.91983675956726
nan,nan,206848,0.4078059211387881,0.4686523377895355,0.5538085699081421,0.51123046875,17.62715588212013,101,0.0002385245901639344,1000.0,62.847084393736104,2,-0.08901659962721169,9.57964210510254,209.36197781562805
nan,nan,208896,0.1902130165239214,0.35712891817092896,0.4247070252895355,0.39091796875,17.28854256272316,102,0.00023790983606557375,1000.0,-35.98390322077092,2,-0.08818989323335699,14.58577763736248,211.0084526538849
nan,nan,210944,0.27244181875576035,0.4110351502895355,0.50244140625,0.45673828125,17.431114438176156,103,0.00023729508196721307,1000.0,40.54202482973488,2,-0.09468651325150859,12.759628450870514,213.20816683769226
202.81767731517078,63.79083735039519,210944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,215.69895696640015
nan,nan,212992,0.30969999885273863,0.4388183653354645,0.529052734375,0.483935546875,17.551334697008134,104,0.00023668032786885242,1000.0,124.18521228300673,2,-0.08808541262988001,12.653956805169582,217.26513576507568
nan,nan,215040,0.3164821155820391,0.4385742247104645,0.5143066644668579,0.4764404296875,17.660069423913956,105,0.00023606557377049177,1000.0,18.768206808902935,3,-0.08434549249941484,10.723943105340004,218.49122095108032
nan,nan,217088,0.2988194944249699,0.42988282442092896,0.4969726502895355,0.463427734375,17.540126305818557,106,0.00023545081967213112,1000.0,132.1013536015816,2,-0.07563462001562585,14.825316073000431,219.90297293663025
nan,nan,219136,0.6180453706852859,0.550341784954071,0.616406261920929,0.5833740234375,18.191221076250077,107,0.0002348360655737705,1000.0,147.37379395837135,2,-0.06406145247456152,8.902181708812714,221.56283378601074
nan,nan,221184,0.5036689759668661,0.5458008050918579,0.5950683355331421,0.5704345703125,18.004910266399385,108,0.00023422131147540984,1000.0,73.04061019216968,2,-0.07239597018196946,10.033291101455688,223.17984080314636
232.56511211673114,98.1204089729528,221184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,226.33212280273438
nan,nan,223232,0.3620771344809327,0.479736328125,0.550537109375,0.51513671875,17.623396944999694,109,0.00023360655737704916,1000.0,70.20801029240626,2,-0.08726650763419457,8.833578957617283,227.9141707420349
nan,nan,225280,0.45237485674442723,0.4759277403354645,0.550000011920929,0.5129638671875,17.886359566450118,110,0.0002329918032786885,1000.0,116.51750066178778,2,-0.07462752992723835,8.106224612891674,229.49020886421204
nan,nan,227328,0.24667405111686094,0.3807128965854645,0.4364257752895355,0.4085693359375,17.38524263501167,111,0.00023237704918032786,1000.0,-7.401989454168003,2,-0.09141663159825839,15.008017103374005,230.73231983184814
nan,nan,229376,0.2795737155320239,0.4090820252895355,0.46699219942092896,0.438037109375,17.58669031262398,112,0.00023176229508196718,1000.0,131.4480367180522,2,-0.07996770302124787,13.527016705274582,232.54649901390076
nan,nan,231424,0.2207752029018593,0.35693359375,0.42646485567092896,0.39169921875,17.368302005529404,113,0.00023114754098360653,1000.0,14.951111003396662,2,-0.08269064557389356,19.439227735996248,234.11283993721008
272.6048860994403,52.04339677160933,231424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,237.17686295509338
nan,nan,233472,0.42975688452279426,0.5186523199081421,0.5816406011581421,0.550146484375,17.917548114061354,114,0.00023053278688524588,1000.0,155.53218095012758,2,-0.08163663809827995,9.659733481705189,238.73039364814758
