eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,88064,0.0609980842054938,0.29243165254592896,0.26274412870407104,0.22929687798023224,0.19267578423023224,0.16660156846046448,0.14506836235523224,0.14072266221046448,0.13925781846046448,0.196099853515625,0.02193469419144094,0.2778223433997482,10.0,68.51543328762054,43,0.0002741803278688524,1000.0,-520.96210041234,2,-0.03503947425779188,16.69611362218857,189.66416096687317
nan,nan,90112,0.08026170833254583,0.36015623807907104,0.3304199278354645,0.2950683534145355,0.24941405653953552,0.20522460341453552,0.19443359971046448,0.19780273735523224,0.19614258408546448,0.253582763671875,0.024665027746232228,0.3487320933956653,10.0,68.76785655021668,44,0.00027356557377049176,1000.0,-476.35541386859313,2,-0.028609242525999435,11.215092238038778,192.96836495399475
-546.8996238382999,37.24850477363069,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,199.2549180984497
nan,nan,92160,0.07471666446763266,0.32963865995407104,0.2943359315395355,0.24399414658546448,0.21708984673023224,0.19785156846046448,0.18657226860523224,0.18447265028953552,0.17763671278953552,0.228948974609375,0.02372720285784453,0.3121694237459451,10.0,68.85130293369293,45,0.0002729508196721311,1000.0,-487.48625863675886,2,-0.032924675768299494,14.17005961984396,202.71362590789795
nan,nan,94208,0.07976932781675714,0.3533691465854645,0.3047851622104645,0.2720703184604645,0.24306640028953552,0.21186523139476776,0.18666991591453552,0.17412109673023224,0.18974609673023224,0.241961669921875,0.024760863330448045,0.3125727363396436,10.0,68.74171102046967,46,0.00027233606557377046,1000.0,-483.2785008682324,2,-0.03014980315201683,12.34110176563263,206.05598402023315
nan,nan,96256,0.046942848166509066,0.24819335341453552,0.19765624403953552,0.18828125298023224,0.15068359673023224,0.12353515625,0.10791015625,0.10175780951976776,0.11328125,0.153912353515625,0.022561167500680313,0.25321058272384106,10.0,68.64844126701355,47,0.0002717213114754098,1000.0,-452.1299981205061,2,-0.032042907043069134,23.905690440535544,209.46790099143982
nan,nan,98304,0.05282425352961582,0.223876953125,0.20844726264476776,0.18515625596046448,0.15742187201976776,0.14150390028953552,0.13505859673023224,0.13706055283546448,0.12397460639476776,0.1640625,0.019513525374350138,0.19879216053523124,10.0,68.56433992385864,48,0.00027110655737704915,1000.0,-612.2897548717226,2,-0.030948474671458826,12.852089966833592,212.7465660572052
nan,nan,100352,0.06036069138281164,0.2984375059604645,0.239501953125,0.19804687798023224,0.16958007216453552,0.15776367485523224,0.14443358778953552,0.13291016221046448,0.140869140625,0.18519287109375,0.024984557670541106,0.29616056201048196,10.0,68.78596446514129,49,0.0002704918032786885,1000.0,-408.1847995498741,2,-0.031024001027981286,15.996808215975761,216.05916619300842
-548.1586888374217,10.045155742687983,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,222.3719232082367
nan,nan,102400,0.05810810349576059,0.29570311307907104,0.2674316465854645,0.21586914360523224,0.15805664658546448,0.13530273735523224,0.13740234076976776,0.14824219048023224,0.15224608778953552,0.18878173828125,0.02331124526099302,0.2881670837756246,10.0,68.48582015037536,50,0.00026987704918032785,1000.0,-430.68496701029846,2,-0.031154352010344156,15.742725431919098,225.86244797706604
nan,nan,104448,0.08366441987382131,0.36503905057907104,0.3746581971645355,0.2904296815395355,0.23212890326976776,0.18867187201976776,0.17509765923023224,0.19243164360523224,0.225830078125,0.255535888671875,0.02782678261282854,0.3884346415754408,10.0,68.93157739639283,51,0.00026926229508196715,1000.0,-443.841168821167,2,-0.023506920281215572,8.480989224463702,229.15611004829407
nan,nan,106496,0.07321160240535392,0.3741210997104645,0.33955079317092896,0.28564453125,0.20668944716453552,0.172119140625,0.15117187798023224,0.166748046875,0.1806640625,0.234588623046875,0.02937819260987453,0.3975105223245919,10.0,68.75899631977082,52,0.00026864754098360655,1000.0,-461.0410175168456,2,-0.01997162976767868,9.643639881908893,232.40984106063843
nan,nan,108544,0.07021141406730749,0.38032227754592896,0.34965819120407104,0.2774414122104645,0.21455077826976776,0.19741210341453552,0.1591796875,0.13525390625,0.13300780951976776,0.230853271484375,0.031222785683348776,0.457248814124614,10.0,68.88701107501984,53,0.0002680327868852459,1000.0,-463.7476632197893,2,-0.02852960990567226,9.581815429776906,235.80699396133423
nan,nan,110592,0.06401056127397169,0.36259764432907104,0.29521483182907104,0.232421875,0.19912108778953552,0.18227538466453552,0.15874023735523224,0.12924805283546448,0.13505859673023224,0.211834716796875,0.029787404596572743,0.39867969173938034,10.0,68.6569325685501,54,0.00026741803278688525,1000.0,-425.5575072725608,2,-0.029728534680907616,11.320525366812944,239.20497488975525
-493.5961142268187,73.07219101598518,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245.41035199165344
nan,nan,112640,0.040921814075773,0.22050781548023224,0.17265625298023224,0.14311523735523224,0.11870117485523224,0.09716796875,0.10708007961511612,0.10722656548023224,0.111083984375,0.1346923828125,0.023678321338957177,0.26352617219090463,10.0,68.4369056224823,55,0.0002668032786885246,1000.0,-340.1893482383575,2,-0.02492727123608347,18.266953559219836,248.79109120368958
nan,nan,114688,0.032396911600517345,0.16059570014476776,0.14653320610523224,0.12026367336511612,0.10688476264476776,0.08286132663488388,0.06333007663488388,0.06450195610523224,0.06918945163488388,0.10177001953125,0.019888432504376396,0.20473970780149103,10.0,68.37980875968933,56,0.0002661885245901639,1000.0,-102.19571845701438,2,-0.02145303769648308,23.20597912669182,251.91677498817444
nan,nan,116736,0.04304845923579705,0.187255859375,0.19755859673023224,0.17070312798023224,0.15170899033546448,0.12709960341453552,0.09453125298023224,0.085693359375,0.11542968451976776,0.14124755859375,0.019927553739398716,0.20583849772810936,10.0,68.60327091217042,57,0.00026557377049180324,1000.0,-67.44401190264321,2,-0.028393095241335688,21.263906180858612,255.40081095695496
nan,nan,118784,0.03989340173138771,0.22153320908546448,0.17885741591453552,0.14604492485523224,0.11196289211511612,0.08969726413488388,0.08457031100988388,0.08642578125,0.10581054538488388,0.12811279296875,0.020064092590473592,0.20502186170779169,10.0,68.47020695209503,58,0.0002649590163934426,1000.0,-105.9892228466926,2,-0.026920155984407758,21.01004629731178,258.8266179561615
nan,nan,120832,0.043209539147574104,0.22080078721046448,0.18217773735523224,0.15610352158546448,0.12441406399011612,0.111572265625,0.09565429389476776,0.10366211086511612,0.11894531548023224,0.139166259765625,0.019396654923912137,0.19755486981011927,10.0,68.41814820766449,59,0.00026434426229508194,1000.0,-68.83239843212576,2,-0.027777731721289455,20.32631214261055,262.12761211395264
-324.44706257424696,192.09107301294165,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,268.3992819786072
nan,nan,122880,0.04518149467949115,0.21904297173023224,0.17607422173023224,0.1455078125,0.13579101860523224,0.12407226860523224,0.12416992336511612,0.12490234524011612,0.13032226264476776,0.1474853515625,0.017849162974744103,0.18891940764151513,10.0,68.31735246181488,60,0.0002637295081967213,1000.0,-81.49540599223718,2,-0.025632675604720136,23.33795285820961,271.6055929660797
nan,nan,124928,0.043650076565972994,0.207275390625,0.17026367783546448,0.15434570610523224,0.13032226264476776,0.11416015774011612,0.10957030951976776,0.115966796875,0.13198241591453552,0.14173583984375,0.016336292351479643,0.1724705307977274,10.0,68.40180642604828,61,0.00026311475409836063,1000.0,23.051703052119365,2,-0.02628154650737997,24.991953739523886,275.1511788368225
nan,nan,126976,0.046456455793668285,0.18867187201976776,0.18505859375,0.16274413466453552,0.14365234971046448,0.11874999850988388,0.11420898139476776,0.12373046576976776,0.15458984673023224,0.14892578125,0.01665586556191556,0.16896272506564855,10.0,68.27706704139709,62,0.0002625,1000.0,171.66923106532016,2,-0.0283376399151166,22.61433813869953,278.6395559310913
nan,nan,129024,0.04891635009516904,0.21499022841453552,0.185302734375,0.16464844346046448,0.14106445014476776,0.14599609375,0.14443358778953552,0.14243164658546448,0.14189453423023224,0.16009521484375,0.017663903321954423,0.19258239392656834,10.0,68.36791505813599,63,0.00026188524590163933,1000.0,59.8179062369646,3,-0.026428800106805282,27.1280841588974,281.87249302864075
