eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,129024,0.07166322959892568,0.16694335639476776,0.16499023139476776,0.19399413466453552,0.23354491591453552,0.23867186903953552,0.24897460639476776,0.2421875,0.24370117485523224,0.2166259765625,68.72621088027954,63,0.00026188524590163933,1000.0,-67.53291151745447,3,-0.04595661307394039,13.901412372291087,413.41681385040283
nan,nan,131072,0.07418121923728904,0.17084960639476776,0.17939452826976776,0.19794921576976776,0.22246094048023224,0.24331054091453552,0.2511230409145355,0.2616210877895355,0.252197265625,0.22236328125,68.81033508777618,64,0.0002612704918032787,1000.0,-125.5205617009513,2,-0.049146551589365116,15.33297040760517,420.1985409259796
-63.17498504774733,120.24343085122045,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,432.6348490715027
nan,nan,133120,0.08496883103252913,0.181884765625,0.19233398139476776,0.21357421576976776,0.24355468153953552,0.27177733182907104,0.2811035215854645,0.27534180879592896,0.27978515625,0.24241943359375,68.86127586364746,65,0.000260655737704918,1000.0,-148.48751459218698,2,-0.04612810051185079,12.126818382740021,440.0412018299103
nan,nan,135168,0.10674051817877625,0.22788086533546448,0.22700195014476776,0.25019532442092896,0.29301756620407104,0.313232421875,0.3214355409145355,0.3252929747104645,0.3128906190395355,0.283868408203125,69.1467806339264,66,0.0002600409836065573,1000.0,-5.266230739273624,2,-0.04656898400862701,10.974781389534474,446.86194586753845
nan,nan,137216,0.11074389435671037,0.24267578125,0.24980469048023224,0.2666015625,0.30253905057907104,0.32636719942092896,0.34501951932907104,0.33671873807907104,0.34477537870407104,0.301812744140625,68.98985385894775,67,0.00025942622950819673,1000.0,-62.32003047841124,2,-0.04160080047731753,9.148948295414447,453.9800148010254
nan,nan,139264,0.08376208960035,0.19370117783546448,0.20034179091453552,0.21225586533546448,0.24599608778953552,0.28076171875,0.27519530057907104,0.2889160215854645,0.286865234375,0.248004150390625,68.88763825893402,68,0.000258811475409836,1000.0,-77.92698401046991,2,-0.050344340573064986,9.051993210613727,461.3857669830322
nan,nan,141312,0.09414899160474306,0.21357421576976776,0.215576171875,0.23574218153953552,0.260986328125,0.29633790254592896,0.29345703125,0.306396484375,0.3047851622104645,0.26585693359375,69.06632995605469,69,0.00025819672131147537,1000.0,-7.965286523995797,2,-0.047560492070624606,8.459492474794388,469.20277404785156
-27.23947360943028,95.3107646729275,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,481.0069959163666
nan,nan,143360,0.08306098184984875,0.196044921875,0.18994140625,0.21909180283546448,0.23911133408546448,0.2696289122104645,0.2779296934604645,0.276123046875,0.2607421875,0.24107666015625,68.7279901266098,70,0.0002575819672131147,1000.0,-107.03388678342134,2,-0.04802456778706983,8.750750598311424,487.439327955246
