eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,135168,17.989937533903866,0.10107421875,0.153564453125,0.27495115995407104,0.979443371295929,0.37725830078125,30.622839921712874,408.23686385154724,142.5592539668083,66,0.0002600409836065573,1000.0,-600.7226592706791,2,-11.62567137926817,12.319144836161286,189.3249547481537
nan,nan,137216,17.334392662136814,0.12949219346046448,0.18999023735523224,0.29414063692092896,0.971875011920929,0.39637451171875,29.697489592432976,392.7631821155548,119.34450916051864,67,0.00025942622950819673,1000.0,-602.5072373509181,2,-11.22102581858635,12.33233296032995,191.59667778015137
nan,nan,139264,18.2819798090728,0.14252929389476776,0.21503905951976776,0.2889160215854645,0.9832519292831421,0.40743408203125,30.812850379943846,410.09721570014955,143.09188092947005,68,0.000258811475409836,1000.0,-598.7301076477522,2,-12.371721315383912,12.285936260502785,193.8482151031494
nan,nan,141312,18.183475728251505,0.14389649033546448,0.24018554389476776,0.30712890625,0.981640636920929,0.418212890625,30.41864206790924,404.25218896865846,187.11406375169753,69,0.00025819672131147537,1000.0,-595.9200442320382,2,-12.052087289094924,12.30560758318752,196.0725998878479
-598.0427705191811,4.210346979687483,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,199.70708203315735
nan,nan,143360,18.086142168939112,0.12060546875,0.1943359375,0.29545897245407104,0.9775390625,0.39698486328125,30.733025324344634,416.3300192832947,178.2367298603058,70,0.0002575819672131147,1000.0,-594.5295868099231,2,-12.190475495159626,12.344866720028222,201.8416657447815
nan,nan,145408,17.90128978783032,0.09707031399011612,0.22495117783546448,0.3123535215854645,0.978759765625,0.40328369140625,30.494594222307207,412.479625749588,194.17937738895415,71,0.00025696721311475407,1000.0,-600.9893516350454,2,-11.96813278645277,12.372129142377526,203.98098492622375
nan,nan,147456,18.03212086611893,0.12724609673023224,0.18525390326976776,0.2734375,0.980517566204071,0.39161376953125,30.712923461198805,401.8964644908905,169.8761463522911,72,0.0002563524590163934,1000.0,-597.7033777581089,2,-12.114793473482132,12.360976981557906,206.16824078559875
nan,nan,149504,18.056946766574402,0.119384765625,0.21943359076976776,0.32514649629592896,0.982958972454071,0.41173095703125,30.950561392307282,412.081645154953,140.86023613214493,73,0.00025573770491803277,1000.0,-597.1654802462024,2,-12.220741987228394,12.344505620747805,208.3586618900299
nan,nan,151552,17.870082041074056,0.12246093899011612,0.22617188096046448,0.295166015625,0.97412109375,0.40447998046875,30.891770094633102,409.4563035011291,161.005348777771,74,0.0002551229508196721,1000.0,-598.1039487576302,2,-11.893423612415791,12.363918585889042,210.54981184005737
-599.544085279251,3.439490799438922,151552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,214.1499228477478
nan,nan,153600,18.18896778062044,0.11762695014476776,0.19501952826976776,0.288818359375,0.9861816167831421,0.39691162109375,30.362165987491608,408.46003847122194,134.31637358665466,75,0.00025450819672131146,1000.0,-598.0373698856833,2,-11.725636440515519,12.390988116711378,216.3513798713684
nan,nan,155648,17.758706642803737,0.11005859076976776,0.1669921875,0.274658203125,0.979296863079071,0.38275146484375,30.455790477991105,407.58088703155516,203.6749236345291,76,0.0002538934426229508,1000.0,-600.147832809075,2,-11.606100961565971,12.390228903945536,218.45682001113892
